                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4886,                  5.359,                  2.182,                0.00425,                      1,                0.20481,                0.10404,                 1.2313,                 6.2482,                 2.2953,             0.00029997,             0.00029997,             0.00029997
                      2,                 1.2018,                 4.2995,                 1.9119,                0.09676,                0.90137,                0.53884,                0.25001,                 1.3859,                 5.9918,                 2.6628,               0.000605,               0.000605,               0.000605
                      3,                   1.29,                 4.0716,                 1.9279,                0.53286,                0.67594,                0.73959,                0.40592,                 1.3713,                 5.3849,                 2.5022,             0.00090387,             0.00090387,             0.00090387
                      4,                  1.171,                  3.641,                 1.8131,                0.91614,                0.43658,                 0.7148,                 0.4317,                 1.2425,                 5.7977,                 2.4875,               0.001078,               0.001078,               0.001078
                      5,                 1.2107,                 3.6553,                 1.8654,                0.65877,                 0.7439,                0.81522,                0.47471,                 1.3199,                 4.6095,                 2.6063,               0.001067,               0.001067,               0.001067
                      6,                 1.2006,                 3.3343,                 1.8749,                 0.7463,                0.71154,                0.82376,                0.50013,                 1.3822,                 3.3725,                 2.4866,               0.001056,               0.001056,               0.001056
                      7,                 1.1606,                 3.1395,                 1.7984,                0.70848,                0.64407,                0.72715,                0.33116,                 1.8336,                 4.8943,                 2.6814,               0.001045,               0.001045,               0.001045
                      8,                 1.1303,                 2.9988,                 1.7578,                0.70636,                0.73652,                0.83245,                0.50176,                 1.3691,                 3.3223,                 2.4837,               0.001034,               0.001034,               0.001034
                      9,                  1.137,                 2.8666,                  1.767,                0.73379,                0.77709,                0.85053,                0.53443,                 1.3372,                 2.8601,                 2.4245,               0.001023,               0.001023,               0.001023
                     10,                 1.0689,                 2.5728,                 1.6983,                0.74647,                0.75922,                0.80789,                0.49377,                 1.4381,                 2.7927,                 2.5275,               0.001012,               0.001012,               0.001012
                     11,                 1.0367,                 2.5703,                  1.646,                0.72516,                0.60422,                0.68434,                0.41754,                 1.5348,                 3.1022,                 2.5705,               0.001001,               0.001001,               0.001001
                     12,                 1.1219,                  2.515,                 1.7547,                0.71484,                0.86849,                0.83103,                 0.4784,                 1.4658,                 2.7249,                 2.4399,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.1232,                 2.4908,                 1.7537,                0.77836,                0.88401,                0.90881,                0.58606,                 1.2839,                 2.2942,                 2.2936,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.0679,                 2.3335,                 1.7256,                0.78103,                0.74487,                0.86077,                0.51568,                 1.2889,                 2.4625,                 2.2294,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.0635,                 2.2672,                 1.6869,                  0.803,                0.93996,                0.93757,                0.61316,                  1.237,                 2.0135,                  2.141,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.0335,                 2.1275,                 1.6866,                0.85371,                0.89837,                0.94788,                0.61845,                 1.2609,                 1.9182,                 2.1577,             0.00094602,             0.00094602,             0.00094602
                     17,                  1.041,                 2.0199,                 1.6495,                0.77639,                0.89752,                0.93067,                0.63808,                 1.2359,                 2.0737,                 2.1302,             0.00093502,             0.00093502,             0.00093502
                     18,                0.98671,                 1.8172,                 1.5664,                0.88069,                0.89962,                0.93271,                 0.6441,                 1.2206,                 1.6906,                 2.0706,             0.00092402,             0.00092402,             0.00092402
                     19,                0.98955,                 1.8666,                 1.6178,                0.87579,                   0.95,                0.97188,                 0.6653,                 1.1882,                 1.6944,                 2.1028,             0.00091302,             0.00091302,             0.00091302
                     20,                0.99948,                 1.8773,                 1.6114,                0.92056,                0.93346,                0.96793,                0.64385,                 1.1894,                 1.6637,                 2.1171,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.0346,                 1.8528,                 1.6525,                0.92022,                0.88498,                0.95456,                0.60626,                 1.3143,                 1.7139,                 2.2867,             0.00089102,             0.00089102,             0.00089102
                     22,                0.94718,                 1.6601,                 1.5923,                0.84473,                0.89771,                0.93995,                0.62181,                 1.1842,                 1.6907,                  2.181,             0.00088002,             0.00088002,             0.00088002
                     23,                0.98186,                 1.6807,                 1.6214,                0.85707,                0.87934,                 0.9695,                0.65868,                 1.2101,                 1.6352,                 2.1433,             0.00086902,             0.00086902,             0.00086902
                     24,                0.98467,                 1.6007,                 1.6063,                 0.9112,                0.96054,                0.97835,                 0.6537,                 1.2253,                 1.5346,                 2.2509,             0.00085803,             0.00085803,             0.00085803
                     25,                0.98222,                 1.6051,                 1.6156,                0.96023,                 0.8967,                0.97338,                0.65446,                 1.1996,                 1.5169,                 2.1671,             0.00084703,             0.00084703,             0.00084703
                     26,                0.98169,                 1.6027,                 1.6066,                0.90419,                0.88865,                0.94128,                0.63489,                 1.2119,                 1.5933,                 2.1065,             0.00083603,             0.00083603,             0.00083603
                     27,                0.96087,                 1.5182,                 1.5607,                0.89094,                0.88177,                0.96688,                0.66548,                 1.1668,                 1.6344,                 2.1109,             0.00082503,             0.00082503,             0.00082503
                     28,                0.95662,                 1.5108,                 1.5767,                0.90859,                0.91894,                0.96704,                0.66171,                 1.2079,                 1.5179,                 2.1267,             0.00081403,             0.00081403,             0.00081403
                     29,                0.92094,                 1.3769,                 1.5649,                0.88221,                0.91617,                0.97186,                0.65557,                 1.2252,                 1.5218,                 2.2216,             0.00080303,             0.00080303,             0.00080303
                     30,                0.87238,                 1.3201,                 1.5294,                0.89077,                0.82193,                0.94248,                0.66502,                 1.1628,                 1.6027,                 2.1032,             0.00079203,             0.00079203,             0.00079203
                     31,                0.91636,                 1.3492,                 1.5359,                0.86345,                0.87453,                0.94576,                0.63734,                  1.253,                 1.4728,                 2.2261,             0.00078103,             0.00078103,             0.00078103
                     32,                0.90167,                 1.2595,                 1.5663,                0.89555,                0.91655,                0.95403,                0.68452,                 1.1085,                  1.341,                 2.0868,             0.00077003,             0.00077003,             0.00077003
                     33,                0.82634,                 1.1651,                 1.4183,                0.93331,                0.98333,                 0.9727,                 0.7002,                 1.1258,                 1.2499,                 2.0763,             0.00075904,             0.00075904,             0.00075904
                     34,                0.90061,                 1.2185,                 1.5046,                0.90828,                0.97811,                 0.9698,                0.68489,                 1.1553,                 1.2488,                 2.0432,             0.00074804,             0.00074804,             0.00074804
                     35,                0.89782,                 1.2442,                 1.5281,                0.94767,                0.92545,                0.97761,                 0.6887,                 1.1313,                 1.2131,                 2.0756,             0.00073704,             0.00073704,             0.00073704
                     36,                0.86451,                 1.2616,                 1.4873,                 0.9391,                0.95663,                0.97554,                0.69368,                 1.1275,                 1.1531,                 2.0612,             0.00072604,             0.00072604,             0.00072604
                     37,                0.86792,                 1.1949,                 1.4855,                 0.8785,                0.98283,                0.97742,                0.68116,                 1.1238,                 1.1746,                 2.0782,             0.00071504,             0.00071504,             0.00071504
                     38,                0.86775,                 1.1777,                  1.501,                0.95695,                 0.9173,                0.98042,                0.71743,                 1.0809,                 1.1059,                 2.0028,             0.00070404,             0.00070404,             0.00070404
                     39,                0.85328,                 1.1483,                 1.4446,                0.95349,                0.96435,                0.98538,                 0.7109,                 1.1024,                 1.0183,                 2.0658,             0.00069304,             0.00069304,             0.00069304
                     40,                0.84239,                 1.0878,                 1.5195,                0.84626,                0.95812,                0.97839,                0.70245,                 1.1075,                 1.0382,                 2.1036,             0.00068204,             0.00068204,             0.00068204
                     41,                0.88365,                 1.1499,                  1.487,                0.90549,                0.97328,                0.97395,                0.69889,                 1.1104,                0.98859,                 2.0918,             0.00067104,             0.00067104,             0.00067104
                     42,                0.86307,                 1.1261,                 1.4998,                0.90349,                0.92858,                0.97289,                0.70824,                 1.0401,                0.96626,                 1.9938,             0.00066005,             0.00066005,             0.00066005
                     43,                0.81333,                 1.0384,                 1.4038,                0.91369,                0.94914,                0.94674,                0.70334,                 1.0622,                0.99855,                 1.9809,             0.00064905,             0.00064905,             0.00064905
                     44,                0.80853,                 1.0123,                 1.4494,                0.93699,                0.95966,                0.98012,                0.70397,                 1.1085,                0.92031,                 2.0806,             0.00063805,             0.00063805,             0.00063805
                     45,                0.82694,                0.97484,                 1.4323,                0.91653,                0.95999,                0.97346,                 0.6896,                  1.107,                 1.0941,                 2.0936,             0.00062705,             0.00062705,             0.00062705
                     46,                0.84359,                 1.0192,                  1.467,                0.93736,                0.95722,                0.97685,                0.70723,                 1.0633,                0.94023,                 2.0134,             0.00061605,             0.00061605,             0.00061605
                     47,                0.84176,                 1.0151,                 1.4733,                0.94306,                 0.9561,                0.97797,                0.72065,                 1.0476,                0.81839,                 2.0277,             0.00060505,             0.00060505,             0.00060505
                     48,                0.76748,                0.91052,                  1.424,                0.95065,                0.97525,                0.98279,                0.72655,                 1.0092,                0.78806,                 1.9326,             0.00059405,             0.00059405,             0.00059405
                     49,                0.79107,                0.93048,                 1.3905,                0.96818,                0.91539,                0.98491,                0.72964,                 1.0268,                0.78784,                 1.9671,             0.00058305,             0.00058305,             0.00058305
                     50,                0.79237,                0.91794,                 1.4274,                0.94955,                0.96762,                0.98317,                0.72534,                  1.101,                0.73067,                 2.0168,             0.00057205,             0.00057205,             0.00057205
                     51,                0.78999,                0.92346,                 1.4398,                0.97452,                0.94937,                0.98489,                0.71219,                 1.0634,                0.73874,                 2.0362,             0.00056105,             0.00056105,             0.00056105
                     52,                 0.8355,                0.96413,                 1.4426,                0.97046,                0.96215,                0.98531,                0.70002,                 1.0767,                0.76212,                 2.0867,             0.00055006,             0.00055006,             0.00055006
                     53,                0.81528,                 0.9442,                 1.4421,                0.97228,                0.98693,                  0.993,                0.71891,                 1.0336,                0.74207,                 2.0694,             0.00053906,             0.00053906,             0.00053906
                     54,                0.77078,                0.89833,                   1.38,                 0.9631,                0.98211,                0.99176,                0.69846,                 1.1056,                0.69908,                 2.1393,             0.00052806,             0.00052806,             0.00052806
                     55,                0.80659,                0.92618,                 1.4245,                0.94294,                  0.968,                0.99234,                0.70804,                 1.0821,                0.67918,                 2.0941,             0.00051706,             0.00051706,             0.00051706
                     56,                0.76737,                0.86753,                 1.3957,                0.95613,                0.98167,                0.98487,                0.71905,                  1.054,                0.75442,                 2.0058,             0.00050606,             0.00050606,             0.00050606
                     57,                0.71692,                0.82713,                 1.3595,                0.95307,                0.98158,                0.98454,                0.72331,                 1.0554,                0.70823,                 1.9505,             0.00049506,             0.00049506,             0.00049506
                     58,                 0.7382,                0.83893,                 1.4014,                0.95216,                0.97879,                0.97759,                0.71226,                 1.0721,                0.67056,                 2.0087,             0.00048406,             0.00048406,             0.00048406
                     59,                0.74883,                0.81701,                 1.3884,                0.93575,                0.99139,                0.98388,                0.72033,                  1.085,                0.63545,                 2.0765,             0.00047306,             0.00047306,             0.00047306
                     60,                0.77571,                0.79331,                 1.3898,                0.95817,                0.96667,                 0.9861,                0.72743,                 1.0542,                0.62905,                 2.0326,             0.00046206,             0.00046206,             0.00046206
                     61,                0.77967,                0.89931,                 1.4247,                0.92465,                0.99167,                0.97838,                0.72237,                 1.0469,                0.67181,                 2.0419,             0.00045107,             0.00045107,             0.00045107
                     62,                0.77937,                0.85767,                 1.3676,                0.97459,                 0.9819,                0.98225,                 0.7232,                 1.0431,                0.62278,                 2.0357,             0.00044007,             0.00044007,             0.00044007
                     63,                0.75724,                0.85799,                 1.4126,                0.96595,                0.97899,                0.98344,                 0.7191,                 1.0529,                0.64756,                 2.0196,             0.00042907,             0.00042907,             0.00042907
                     64,                 0.7419,                0.80319,                 1.3886,                0.90752,                0.97273,                 0.9811,                0.71867,                 1.0704,                0.69239,                 2.0286,             0.00041807,             0.00041807,             0.00041807
                     65,                0.73284,                0.78516,                 1.4089,                 0.9191,                0.98043,                0.98626,                0.74131,                 1.0104,                0.62891,                 1.9448,             0.00040707,             0.00040707,             0.00040707
                     66,                 0.7185,                0.77363,                 1.3453,                 0.9183,                 0.9948,                0.98413,                0.71958,                 1.0376,                0.65303,                  2.001,             0.00039607,             0.00039607,             0.00039607
                     67,                 0.6905,                0.76695,                 1.3309,                0.92065,                0.99167,                0.98114,                0.72849,                 1.0252,                0.63905,                 2.0137,             0.00038507,             0.00038507,             0.00038507
                     68,                0.70408,                0.74419,                 1.3398,                0.95212,                0.99167,                0.98459,                0.71882,                 1.0331,                0.61594,                 2.0326,             0.00037407,             0.00037407,             0.00037407
                     69,                0.71971,                0.74538,                  1.393,                0.95939,                0.95339,                0.98048,                0.72399,                  1.048,                0.61606,                  2.035,             0.00036307,             0.00036307,             0.00036307
                     70,                0.68175,                0.72548,                 1.2936,                0.96622,                0.97204,                0.98062,                0.72238,                 1.0682,                0.63328,                  2.038,             0.00035208,             0.00035208,             0.00035208
                     71,                0.74189,                  0.772,                 1.3632,                  0.933,                0.98765,                0.98072,                0.74473,                 0.9822,                0.59859,                  1.971,             0.00034108,             0.00034108,             0.00034108
                     72,                0.72545,                0.73572,                 1.3427,                0.92844,                0.98572,                0.97826,                0.72567,                 1.0164,                0.60895,                 2.0141,             0.00033008,             0.00033008,             0.00033008
                     73,                0.75468,                0.77443,                 1.3627,                0.92368,                0.96429,                0.97751,                0.73566,                 0.9991,                 0.5967,                 1.9992,             0.00031908,             0.00031908,             0.00031908
                     74,                0.70584,                0.70596,                 1.3337,                0.93079,                0.98649,                0.98054,                0.73203,                0.99724,                0.57542,                 2.0477,             0.00030808,             0.00030808,             0.00030808
                     75,                0.70814,                0.72455,                  1.344,                0.96455,                0.98981,                0.98151,                0.74326,                0.98059,                0.56318,                 1.9992,             0.00029708,             0.00029708,             0.00029708
                     76,                0.69927,                0.71121,                 1.3376,                0.96597,                  0.984,                 0.9857,                0.74676,                0.98833,                 0.5705,                 1.9661,             0.00028608,             0.00028608,             0.00028608
                     77,                0.73118,                0.73171,                 1.3669,                0.94429,                0.99032,                0.98174,                0.75512,                 0.9657,                0.57206,                 1.9224,             0.00027508,             0.00027508,             0.00027508
                     78,                0.67491,                0.67512,                 1.2853,                 0.9352,                0.96881,                0.97918,                0.72946,                 0.9969,                0.59512,                 1.9941,             0.00026408,             0.00026408,             0.00026408
                     79,                0.67499,                0.69281,                 1.3158,                0.95515,                0.97393,                0.97599,                 0.7291,                  1.014,                0.57898,                 2.0176,             0.00025309,             0.00025309,             0.00025309
                     80,                0.70001,                0.72199,                  1.356,                0.95778,                0.98035,                0.98026,                0.74376,                 1.0124,                0.56592,                 2.0089,             0.00024209,             0.00024209,             0.00024209
                     81,                0.67324,                0.65826,                 1.3241,                0.92429,                0.97443,                0.97735,                0.72847,                 1.0135,                0.56763,                  2.028,             0.00023109,             0.00023109,             0.00023109
                     82,                0.63862,                0.66234,                 1.2864,                0.92998,                0.98437,                0.98131,                0.73788,                 1.0019,                0.56581,                 2.0186,             0.00022009,             0.00022009,             0.00022009
                     83,                0.68868,                0.68088,                  1.328,                0.95402,                0.98549,                0.98444,                0.74713,                0.95778,                0.55186,                 1.9605,             0.00020909,             0.00020909,             0.00020909
                     84,                0.62375,                0.62046,                 1.2489,                0.96379,                0.98691,                0.98529,                0.75072,                 0.9732,                0.54158,                 1.9874,             0.00019809,             0.00019809,             0.00019809
                     85,                0.65165,                0.66849,                 1.3184,                0.95536,                0.98849,                0.98416,                0.74695,                0.98017,                0.55798,                 1.9857,             0.00018709,             0.00018709,             0.00018709
                     86,                0.62979,                 0.6295,                 1.2873,                0.95069,                0.98631,                0.98392,                0.74092,                0.97683,                0.55403,                 1.9587,             0.00017609,             0.00017609,             0.00017609
                     87,                0.63909,                0.63723,                 1.2835,                0.93991,                0.99403,                0.98365,                0.74105,                0.95908,                0.55216,                 1.9353,             0.00016509,             0.00016509,             0.00016509
                     88,                0.62023,                0.58567,                 1.2729,                0.94236,                0.98871,                  0.983,                0.73897,                0.96429,                0.55299,                 1.9357,              0.0001541,              0.0001541,              0.0001541
                     89,                0.65204,                0.63827,                 1.2802,                0.95155,                0.99167,                0.98392,                 0.7496,                0.93709,                0.53944,                 1.8937,              0.0001431,              0.0001431,              0.0001431
                     90,                0.59669,                0.61034,                 1.2508,                0.94525,                0.99167,                 0.9834,                0.75056,                0.93433,                0.53124,                 1.8918,              0.0001321,              0.0001321,              0.0001321
                     91,                0.67872,                0.67648,                 1.3177,                0.94047,                0.99167,                0.98306,                0.75179,                0.94163,                0.54294,                 1.9019,              0.0001211,              0.0001211,              0.0001211
                     92,                0.70451,                0.69043,                 1.3058,                0.94718,                0.99167,                0.98157,                0.74917,                0.95402,                0.53856,                 1.9293,              0.0001101,              0.0001101,              0.0001101
                     93,                 0.6527,                  0.716,                 1.2422,                0.94427,                0.99167,                0.98119,                0.74382,                0.95885,                0.53775,                 1.9559,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.62415,                0.63227,                 1.2737,                 0.9513,                0.99078,                0.98363,                 0.7486,                0.95085,                0.53401,                 1.9567,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.61006,                0.61457,                 1.2374,                0.95515,                0.98176,                0.98494,                0.75161,                0.93813,                0.54119,                 1.9584,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.62572,                0.60435,                 1.2364,                0.96361,                0.97539,                0.98566,                0.76136,                0.93197,                0.53357,                 1.9299,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.60602,                0.63683,                  1.242,                0.95731,                0.98472,                0.98388,                0.75938,                0.93455,                0.52731,                 1.9196,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.60654,                0.60143,                 1.2346,                0.95462,                0.98333,                0.98299,                0.76153,                0.93318,                0.52636,                 1.9186,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.65617,                0.63484,                  1.221,                0.94332,                0.98768,                0.98314,                0.76038,                0.92797,                0.52009,                 1.9029,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.62477,                  0.606,                 1.2105,                0.94671,                0.98333,                0.98183,                0.75898,                0.92309,                0.51712,                  1.896,             2.2109e-05,             2.2109e-05,             2.2109e-05
